Time, RSSI 1, RSSI 2, CINR 1, CINR 2
01:31:07,-91.5,-64.5,6.5,12.5
01:31:13,-92.0,-65.5,6.5,10.5
01:31:19,-94.5,-72.0,4.5,12.0
01:31:25,-90.0,-63.5,7.0,11.5
01:31:31,-89.5,-63.0,7.5,11.0
01:31:37,-90.0,-66.0,7.0,12.0
01:31:43,-89.5,-63.5,7.0,9.5
01:31:49,-89.5,-64.5,7.5,11.0
01:31:55,-94.0,-72.5,5.0,9.5
01:32:01,-93.5,-68.0,5.5,10.0
01:32:07,-93.0,-69.0,5.0,9.5
01:32:13,-98.5,-80.0,1.5,10.5
01:32:19,-99.5,-84.5,-0.5,9.0
01:32:25,-98.5,-88.0,-1.0,9.0
01:32:32,-100.0,-87.5,-1.0,9.0
01:32:37,-98.5,-88.0,-0.5,9.0
01:32:43,-100.0,-88.0,-0.5,8.0
01:32:49,-100.0,-88.0,-1.0,9.0
01:32:55,-99.5,-88.5,-1.0,8.5
01:33:01,-98.5,-87.5,-0.5,9.0
01:33:08,-99.5,-89.0,-0.5,8.0
01:33:14,-98.5,-87.5,-0.5,9.0
01:33:20,-99.5,-87.0,0.0,8.0
01:33:25,-98.5,-87.0,-0.5,8.0
01:33:31,-99.5,-87.5,0.0,8.5
01:33:37,-99.5,-87.5,-1.5,8.0
01:33:43,-99.5,-87.5,0.0,8.5
01:33:49,-99.5,-87.0,-1.0,8.0
01:33:56,-99.5,-87.5,-0.5,8.5
01:34:01,-98.5,-87.5,-1.0,8.5
01:34:08,-99.5,-87.5,-0.5,9.5
01:34:14,-98.5,-88.0,-0.5,8.5
01:34:19,-98.5,-88.0,-0.5,8.0
01:34:25,-98.5,-87.5,0.0,8.0
01:34:31,-99.5,-87.5,-0.5,8.5
01:34:38,-99.5,-87.5,-0.5,8.5
01:34:43,-99.5,-87.0,0.0,8.0
01:34:49,-99.5,-87.5,-0.5,8.5
01:34:55,-98.5,-88.0,-0.5,8.5
01:35:01,-99.5,-87.5,-1.0,8.5
01:35:08,-99.5,-101.5,-0.5,-1.5
01:35:13,-99.5,-101.0,-0.5,-1.5
01:35:20,-98.0,-101.5,-0.5,-1.5
01:35:26,-99.5,-100.5,-0.5,-1.5
01:35:32,-98.5,-101.0,-0.5,-1.5
01:35:38,-99.5,-101.0,-0.5,-1.5
01:35:44,-100.0,-101.0,-0.5,-1.5
01:35:50,-98.5,-100.5,-0.5,-1.5
01:35:56,-98.5,-100.5,-0.5,-1.5
01:36:01,-99.5,-101.0,-0.5,-1.5
01:36:08,-99.5,-100.5,-0.5,-1.5
01:36:14,-99.5,-101.0,-0.5,-1.5
01:36:20,-100.0,-101.5,-0.5,-1.5
01:36:25,-99.5,-101.0,-0.5,-1.5
01:36:32,-101.0,-101.0,-0.5,-1.5
01:36:38,-99.5,-101.0,-0.5,-1.5
01:36:44,-98.5,-100.5,-0.5,-1.5
01:36:50,-99.5,-101.0,-0.5,-1.5
